Disease,Symptoms,Type
Malaria,"headache, chills, sweating",Serious
Roseola,high fever followed by rosy rash,Normal
Dysgraphia,"difficulty writing, poor handwriting",Normal
Gianotti-Crosti Syndrome,rash on limbs after infection,Normal
Mono (Mononucleosis),"swollen lymph nodes, fatigue",Normal
Leprosy,"numbness, muscle weakness, skin lesions",Serious
Bipolar Disorder,"depression, mania, mood swings",Serious
Ascariasis,abdominal pain,Serious
Rheumatic Fever,"chest pain, fever, joint pain",Serious
Campylobacteriosis,"diarrhea, fever, abdominal cramps",Normal
Bladder Infection,"frequent urination, pelvic pressure",Normal
Genital Warts,small bumps in genital area,Serious
Body Odor,unpleasant smell from sweat,Normal
Onychomycosis,"thickened, yellowed nails",Normal
Eczema,"itching, dry skin, redness, rash",Normal
Urinary Tract Infection,"cloudy urine, burning urination, urgency",Normal
Tonsil Stones,"white debris, bad breath",Normal
Tonsil Stones,"bad breath, white debris, sore throat",Normal
Cerebral Palsy,"stiffness, poor coordination, movement issues",Serious
Ganglion Cyst,lump on wrist or hand,Normal
Ovarian Cysts,"pelvic pain, bloating, irregular periods",Serious
Myopia,difficulty seeing far objects,Normal
Deep Vein Thrombosis,warmth,Serious
Body Odor,unpleasant smell from sweat,Normal
Laryngitis,"hoarseness, sore throat, voice loss",Normal
Heart Attack,chest pain,Critical
Beriberi,"limb pain, shortness of breath, weakness",Serious
Tuberculosis,"chest pain, persistent cough, night sweats, weight loss, fatigue",Serious
Flat Warts,smooth small skin-colored warts,Normal
Cataracts,difficulty seeing at night,Normal
Skin Cancer,"bleeding, lesions, abnormal growth",Critical
Kidney Failure,"swelling, decreased urination, fatigue",Critical
Amnesia,"memory loss, confusion",Serious
Rosacea,"visible blood vessels, facial redness",Normal
Giardiasis,stomach cramps,Normal
Bursitis,"joint pain, redness",Normal
Insomnia,"fatigue, irritability, difficulty sleeping",Normal
Ovarian Cancer,"bloating, frequent urination, pelvic pain",Critical
Fibromyalgia,"fatigue, sleep problems",Normal
Sciatica,"lower back pain, leg pain, numbness",Normal
Intertrigo,rash in skin folds,Normal
Myopia,difficulty seeing far objects,Normal
Hiccups,involuntary diaphragm contractions,Normal
Lichen Planus,"purple flat bumps, itching",Normal
Lactose Intolerance,"bloating, diarrhea after dairy, gas",Normal
Legionnaires' Disease,"fever, cough, muscle aches",Serious
Bladder Infection,pelvic pressure,Normal
Narcolepsy,"excessive daytime sleepiness, sudden muscle weakness",Serious
Aphasia,difficulty speaking or understanding,Serious
Aortic Aneurysm,"chest pain, back pain",Critical
Panic Disorder,"sweating, sudden fear",Normal
OCD,"compulsions, anxiety, repetitive thoughts",Normal
Molluscum Contagiosum,small firm bumps with dimples,Normal
Acne,"pimples, oily skin, inflammation, blackheads",Normal
Tinea Cruris,jock itch,Normal
Hepatitis C,loss of appetite,Serious
Abscessed Tooth,"fever, severe toothache, swelling",Serious
Keratosis Pilaris,small rough bumps on arms/thighs,Normal
Scabies,"skin irritation, itching, rash",Normal
Sjogren's Syndrome,"fatigue, joint pain, dry eyes, dry mouth",Serious
Lichen Planus,"itching, purple flat bumps",Normal
MERS,"shortness of breath, cough",Critical
Albinism,lack of pigment in skin/hair/eyes,Normal
Meningitis,"headache, stiff neck, sensitivity to light, fever",Critical
Polycystic Kidney Disease,"high blood pressure, blood in urine, back pain",Serious
Tay-Sachs Disease,"vision loss, seizures, loss of motor skills",Critical
Chlamydia,discharge,Serious
Stuttering,"speech blocks, repetition of sounds",Normal
Cystic Fibrosis,"cough, lung infections, poor growth, salty skin",Critical
Hydrocele,swelling in the scrotum,Normal
Kidney Stones,"nausea, blood in urine, severe back pain",Serious
Bad Breath (Halitosis),persistent mouth odor,Normal
Excessive Sweating,"uncontrolled sweating, damp palms",Normal
Inguinal Hernia,"bulge in the groin, pain while coughing",Serious
Diabetes,increased thirst,Serious
Dermatographism,raised marks after scratching skin,Normal
Inguinal Hernia,"bulge in the groin, pain while coughing",Serious
Amnesia,"memory loss, confusion",Serious
Cataracts,"difficulty seeing at night, cloudy vision",Normal
PTSD,"nightmares, anxiety, flashbacks",Serious
Filariasis,swelling of limbs (elephantiasis),Serious
Chagas Disease,"swelling at bite, fatigue",Serious
Addison's Disease,"dark skin, extreme fatigue, weight loss",Serious
Cystic Fibrosis,poor growth,Critical
Phobia,"anxiety, intense fear, avoidance",Normal
Tinea Capitis,scalp ringworm,Normal
Avian Flu,"muscle aches, sore throat, cough, fever",Critical
OCD,"anxiety, repetitive thoughts, compulsions",Normal
Rotavirus,"vomiting, fever",Normal
Phobia,"intense fear, avoidance, anxiety",Normal
Beriberi,"limb pain, weakness",Serious
Metabolic Syndrome,"high blood pressure, fatigue, weight gain",Serious
Sleeping Sickness,"joint pain, fever, sleep disruption",Critical
Leukemia,"fatigue, fever, easy bleeding, infections",Critical
Cushing Syndrome,"muscle weakness, fatigue, weight gain",Serious
Seasonal Affective Disorder,depression during winter months,Normal
Smallpox,"fatigue, pustules on skin, fever",Critical
Carpal Tunnel Syndrome,"weakness, tingling",Normal
Back Pain,"lower back pain, muscle ache",Normal
Autism Spectrum Disorder,"social difficulty, repetitive behavior",Serious
Polyarteritis Nodosa,joint pain,Serious
Chapped Lips,"peeling lips, cracked, dry",Normal
Cat Scratch Disease,"bump at site, swollen nodes",Normal
Migraine,"light sensitivity, nausea, severe headache",Normal
Shingles,"blisters, painful rash, burning sensation",Serious
Spinal Stenosis,"leg numbness while walking, back pain",Serious
Endometriosis,"infertility, pelvic pain, painful periods",Serious
Meningitis,"headache, stiff neck, sensitivity to light, fever",Critical
Swine Flu,"body aches, cough, fever, sore throat",Serious
Restless Legs Syndrome,"crawling sensation, urge to move legs",Normal
Typhoid Fever,"headache, weakness, stomach pain, high fever",Serious
Liver Cirrhosis,"fluid buildup, fatigue, jaundice",Critical
Kidney Cancer,"blood in urine, back pain, weight loss",Critical
Swine Flu,sore throat,Serious
Onychomycosis,"thickened, yellowed nails",Normal
Generalized Anxiety,restlessness,Normal
Hepatitis B,"abdominal pain, yellow eyes",Serious
Q Fever,"severe headache, fever, chills",Serious
OCD,"anxiety, compulsions, repetitive thoughts",Normal
Hemophilia,"joint pain, easy bruising",Critical
Bee Sting,"swelling, sharp pain, redness",Normal
Astigmatism,blurred vision at all distances,Normal
Beriberi,shortness of breath,Serious
Bed Bug Bites,itchy red bumps in a line,Normal
Rat-bite Fever,"joint pain, fever, rash",Serious
Osteoarthritis,"stiffness, joint pain",Normal
Mumps,"fever, muscle pain, headache",Normal
Arrhythmia,"palpitations, fatigue, irregular heartbeat, dizziness",Serious
Ebola,"fever, bleeding, vomiting",Critical
Common Warts,rough skin growths,Normal
Muscle Cramp,sudden painful muscle contraction,Normal
Coronary Artery Disease,"shortness of breath, fatigue, chest pain",Serious
Leukemia,"infections, fatigue, easy bleeding, fever",Critical
Multiple Sclerosis,"weakness, numbness, vision problems, fatigue",Serious
Oral Thrush,"soreness, white patches in mouth",Normal
Diabetic Retinopathy,"eye pain, vision loss, blurred vision",Serious
Cushing's Syndrome,weight gain,Serious
Schizophrenia,"confusion, delusions, hallucinations",Critical
COVID-19,"fever, loss of taste, fatigue, cough, shortness of breath",Serious
Oral Thrush,"soreness, white patches in mouth",Normal
Genital Warts,small bumps in genital area,Serious
Glaucoma,"halo lights, blurred vision, eye pain",Serious
SARS,cough,Critical
Hemangioma,bright red birthmark,Normal
Chagas Disease,"swelling at bite, fatigue, fever",Serious
Acanthosis Nigricans,dark velvety skin in folds,Normal
Eating Disorder,"weakness, weight changes, food restriction",Serious
Uterine Fibroids,"heavy periods, bloating, pelvic pain",Serious
Paronychia,redness and swelling around nail,Normal
Rabies,"fever, confusion, hydrophobia, anxiety",Critical
Pleural Effusion,"fatigue, shortness of breath, chest pain, cough",Serious
Rubella,"swollen nodes, fever, pink rash",Normal
Fleabites,small itchy red bumps on ankles,Normal
Tooth Decay,"black spots, sensitivity, toothache",Normal
Common Cold,"congestion, mild fever, sore throat, runny nose, sneezing",Normal
Epiglottitis,"severe sore throat, drooling, difficulty breathing",Critical
Hirsutism,excessive hair growth in women,Normal
Sinus Infection,"headache, nasal congestion",Normal
Diabetic Neuropathy,"pain, weakness, tingling, numbness",Serious
Carbuncles,cluster of boils,Serious
Stye,swelling,Normal
Pinta,discolored skin patches,Normal
Bronchitis,wheezing,Normal
Blister,fluid-filled pocket on skin,Normal
Reiter's Syndrome,"eye inflammation, joint pain, urethritis",Serious
Peptic Ulcer,"weight loss, bloating, nausea, burning stomach pain",Serious
Tinea Versicolor,discolored skin patches,Normal
Irritable Bowel Syndrome,"bloating, abdominal pain, diarrhea, constipation",Normal
Toxic Shock Syndrome,"rash, high fever, low blood pressure",Critical
Reiter's Syndrome,"urethritis, eye inflammation, joint pain",Serious
Neuropathy,"pain, weakness, numbness, tingling",Serious
Hypertension,"blurred vision, dizziness, headache, chest pain",Serious
Fragile X Syndrome,"learning disabilities, developmental delays",Serious
Ovarian Cysts,"bloating, pelvic pain, irregular periods",Serious
Salmonellosis,"diarrhea, fever, stomach cramps",Normal
Flat Warts,smooth small skin-colored warts,Normal
Cholera,"dehydration, vomiting, weakness, severe diarrhea",Serious
Erythema Nodosum,painful red lumps on shins,Serious
Leukemia,easy bleeding,Critical
Patau Syndrome,"physical abnormalities, brain defects",Critical
Insect Bite,"red bump, swelling, itching",Normal
Hidradenitis Suppurativa,painful lumps in armpits/groin,Serious
Diabetic Ulcers,painless sores on feet,Serious
Diarrhea,"urgency, stomach cramps, loose stools",Normal
Erythrasma,red-brown skin patches,Normal
MERS,"fever, shortness of breath",Critical
Bee Sting,"sharp pain, swelling",Normal
Cholera,"dehydration, vomiting, weakness, severe diarrhea",Serious
Arthritis,"swelling, reduced movement, joint pain",Normal
Anxiety Disorder,nervousness,Normal
Neck Pain,neck stiffness,Normal
Ganglion Cyst,"lump on wrist or hand, pain",Normal
Anthrax,"skin sores, breathing issues",Critical
Peripheral Artery Disease,"weakness, cold limbs, numbness, leg pain",Serious
Meningitis,"headache, fever, stiff neck",Critical
Psoriasis,"itching, plaques, redness, scaly skin",Normal
Hepatitis,nausea,Serious
Nummular Eczema,coin-shaped itchy skin patches,Normal
Pleural Effusion,"fatigue, chest pain, shortness of breath",Serious
Edward's Syndrome,severe developmental delays,Critical
Corns,hard thickened skin on toes,Normal
Stye,"swelling, pain, red lump on eyelid",Normal
Stretch Marks,lines on skin from rapid growth,Normal
Legionnaires' Disease,"fever, muscle aches",Serious
Hookworm Infection,"abdominal pain, itching, anemia",Serious
Plantar Fasciitis,"stiffness in morning, heel pain",Normal
Hyperglycemia,"thirst, high blood sugar, headache",Serious
Diabetic Ulcers,painless sores on feet,Serious
Plague (Bubonic),swollen lymph nodes (buboes),Critical
Hypoglycemia,"confusion, dizziness, sweating, hunger",Serious
Sinus Infection,"nasal congestion, headache, facial pressure",Normal
Gallstones,"nausea, vomiting, indigestion, abdominal pain",Normal
Melioidosis,"fever, chest pain, cough",Serious
Lyme Disease,"joint pain, fatigue, fever",Serious
Raynaud's Disease,"cold fingers, color change to white/blue",Normal
Seborrheic Dermatitis,"scaly patches, red skin",Normal
Toxic Shock Syndrome,"high fever, rash",Critical
Chickenpox,"fever, loss of appetite, fatigue, itchy rash",Normal
Dupuytren's Contracture,fingers pulled toward palm,Normal
Cat Scratch Disease,"swollen nodes, bump at site",Normal
Zika Virus,"fever, red eyes, joint pain",Normal
Dyshidrotic Eczema,small blisters on hands/feet,Normal
Anthrax (Cutaneous),skin sore with black center,Serious
Diabetic Neuropathy,"tingling, weakness, pain",Serious
Norovirus,"vomiting, diarrhea, stomach cramps",Normal
Neuropathy,"numbness, pain, weakness",Serious
Tooth Decay,"black spots, toothache, sensitivity",Normal
Synovitis,"joint swelling, stiffness",Normal
Dyslexia,"spelling issues, difficulty reading",Normal
Perioral Dermatitis,small red bumps around mouth,Normal
Goiter,difficulty swallowing,Normal
Flat Feet,entire sole touches floor,Normal
Varicocele,swollen veins in the scrotum,Normal
Necrotizing Fasciitis,"intense pain, skin death, redness",Critical
Diarrhea,"urgency, stomach cramps, loose stools",Normal
Inguinal Hernia,bulge in the groin,Serious
Fixed Drug Eruption,recurring rash in same spot,Normal
Angioedema,deep swelling under skin,Serious
Brain Tumor,"headache, vision problems, nausea",Critical
Seasonal Affective Disorder,depression during winter months,Normal
Pressure Sores (Bedsores),skin breakdown from prolonged pressure,Serious
Morton's Neuroma,"toe pain, feeling of pebble in shoe",Normal
Leptospirosis,"high fever, jaundice, headache",Serious
PTSD,"nightmares, flashbacks, anxiety",Serious
Urticaria (Hives),raised itchy welts,Normal
Trichinosis,"fever, swelling, muscle pain",Serious
Diabetic Ulcers,painless sores on feet,Serious
Photosensitivity,rash after sun exposure,Normal
Genital Warts,small bumps in genital area,Serious
Diarrhea,urgency,Normal
Kyphosis,rounded upper back (hunchback),Normal
Heat Rash,"prickly sensation, small red bumps",Normal
Influenza B,"fatigue, chills, fever",Normal
Personality Disorder,"behavior issues, emotional instability",Serious
Hydatid Disease,pain,Serious
Tennis Elbow,"elbow pain, weak grip",Normal
Gallbladder Attack,"nausea, severe upper right pain",Serious
GERD,"chest discomfort, heartburn, acid reflux",Normal
Leptospirosis,"headache, high fever, jaundice",Serious
Genital Warts,small bumps in genital area,Serious
Dry Mouth (Xerostomia),"sticky feeling, dry throat",Normal
Ingrown Toenail,swelling at nail corner,Normal
Reiter's Syndrome,"eye inflammation, urethritis, joint pain",Serious
Rubella,"pink rash, fever, swollen nodes",Normal
Stretch Marks,lines on skin from rapid growth,Normal
Ingrown Toenail,"swelling at nail corner, redness, pain",Normal
Dyshidrotic Eczema,small blisters on hands/feet,Normal
Influenza,"high fever, body ache, fatigue, cough, chills, headache",Normal
Hyperthyroidism,"anxiety, palpitations, sweating",Serious
Crohn's Disease,"abdominal pain, weight loss, diarrhea",Serious
Acne Vulgaris,oily skin,Normal
Herpes Simplex Type 1,cold sores around mouth,Normal
Rat-bite Fever,"fever, joint pain",Serious
Erysipelas,fever,Serious
ADHD,"impulsiveness, hyperactivity",Normal
Specific Phobia,intense fear of objects/situations,Normal
Sepsis,"confusion, fever, shivering",Critical
Tendonitis,"stiffness, swelling, pain",Normal
Leptospirosis,"headache, jaundice, high fever",Serious
RSV,"wheezing, fever, cough",Normal
Presbyopia,age-related near vision loss,Normal
Goiter,"difficulty swallowing, neck swelling, hoarseness",Normal
Tendonitis,"stiffness, swelling, pain",Normal
Sleep Apnea,"snoring, headache, fatigue, breathing pauses during sleep",Serious
Corns and Calluses,thickened skin areas,Normal
Plague,"swollen lymph nodes, fever",Critical
Telogen Effluvium,temporary hair thinning,Normal
Erythrasma,red-brown skin patches,Normal
Bladder Infection,"frequent urination, pelvic pressure",Normal
Vitiligo,"patches, loss of skin color",Normal
Toxic Epidermal Necrolysis,widespread skin peeling,Critical
Diabetic Neuropathy,"tingling, pain, weakness, numbness",Serious
Thrush (Vaginal),"thick white discharge, itching",Normal
Osteoarthritis,"stiffness, joint pain, swelling",Normal
Epilepsy,"loss of consciousness, staring spells, confusion, seizures",Serious
Chagas Disease,"swelling at bite, fatigue, fever",Serious
Hammer Toe,toe bent at middle joint,Normal
Narcolepsy,"sudden muscle weakness, excessive daytime sleepiness",Serious
Drug Eruption,rash after taking medication,Serious
Infertility,irregular cycles,Serious
Bursitis,"joint pain, swelling",Normal
Spondylolisthesis,"stiffness, lower back pain",Serious
OCD,"repetitive thoughts, anxiety",Normal
Gouty Arthritis,"redness, sudden intense joint pain",Serious
Personality Disorder,"emotional instability, behavior issues",Serious
Patau Syndrome,"physical abnormalities, brain defects",Critical
Tonsil Stones,"sore throat, white debris, bad breath",Normal
Hyperthyroidism,"sweating, weight loss, anxiety, palpitations",Serious
Toxic Epidermal Necrolysis,widespread skin peeling,Critical
Heart Failure,"fatigue, shortness of breath, cough",Critical
Pseudofolliculitis Barbae,razor bumps from ingrown hairs,Normal
Scabies,"rash, skin irritation, itching",Normal
Toxic Shock Syndrome,"rash, low blood pressure, high fever",Critical
Osteomyelitis,"bone pain, swelling, fever",Serious
Rat-bite Fever,"rash, joint pain, fever",Serious
Deep Vein Thrombosis,"leg swelling, warmth, pain, redness",Serious
Abscessed Tooth,"fever, swelling, severe toothache",Serious
Tularemia,"skin ulcers, fever, swollen glands",Serious
Atherosclerosis,"leg pain, numbness, chest pain, fatigue",Serious
Ingrown Toenail,"redness, pain, swelling at nail corner",Normal
"Hand, Foot, and Mouth",blisters in mouth and extremities,Normal
Blister,fluid-filled pocket on skin,Normal
Sickle Cell Anemia,"swelling, infections, fatigue, pain crises",Critical
Ovarian Cysts,"irregular periods, pelvic pain",Serious
Shingles,"painful rash, burning sensation",Serious
Ascariasis,"worms in stool, abdominal pain",Serious
Neuropathy,"numbness, pain, weakness, tingling",Serious
Urticaria,"itching, redness, swelling",Normal
Urticaria (Hives),raised itchy welts,Normal
Heart Failure,"fatigue, cough, shortness of breath, swelling",Critical
Vibriosis,"watery diarrhea, abdominal cramps",Normal
Hemophilia,"joint pain, excessive bleeding",Critical
Bladder Cancer,"frequent urination, blood in urine, pelvic pain",Critical
Fifth Disease,"fever, bright red rash on cheeks",Normal
Infertility,"irregular cycles, inability to conceive",Serious
Melioidosis,"fever, cough",Serious
Leishmaniasis,"weight loss, fever, skin sores",Serious
Endocarditis,"chills, fever, fatigue, heart murmur",Serious
Sinus Infection,nasal congestion,Normal
Toxic Shock Syndrome,"low blood pressure, rash, high fever",Critical
Astigmatism,blurred vision at all distances,Normal
Erectile Dysfunction,"low libido, difficulty maintaining erection",Normal
Hypertrichosis,excessive hair growth anywhere,Normal
Edward's Syndrome,severe developmental delays,Critical
Hemangioma,bright red birthmark,Normal
Scurvy,"weakness, bruising",Serious
Vertigo,"nausea, spinning sensation, balance issues, dizziness",Normal
Clubfoot,foot twisted out of shape at birth,Normal
Herpangina,small ulcers in back of throat,Normal
Folliculitis,small red bumps at hair follicles,Normal
Tuberculosis,"night sweats, chest pain, persistent cough, fatigue",Serious
Buruli Ulcer,large painless skin ulcer,Serious
Vertigo,"dizziness, nausea, spinning sensation",Normal
Whooping Cough,"severe coughing, whooping sound, vomiting",Serious
Rabies,"hydrophobia, confusion, anxiety, fever",Critical
Hemangioma,bright red birthmark,Normal
Q Fever,"severe headache, chills, fever",Serious
Hydrocele,swelling in the scrotum,Normal
Dry Mouth (Xerostomia),"sticky feeling, dry throat",Normal
Borderline Personality,"unstable moods, relationship issues",Serious
Spider Veins,small web-like veins on skin,Normal
Meningitis,"fever, headache, stiff neck, sensitivity to light",Critical
Pseudofolliculitis Barbae,razor bumps from ingrown hairs,Normal
Spondylolisthesis,"lower back pain, stiffness",Serious
Anal Fissure,bleeding,Normal
Tonsillitis,"difficulty swallowing, sore throat, fever, swollen tonsils",Normal
Ichthyosis Vulgaris,"dry, scaly skin like fish scales",Normal
Uterine Fibroids,pelvic pain,Serious
Port-Wine Stain,dark red/purple birthmark,Normal
Cardiomyopathy,"dizziness, fatigue, shortness of breath",Serious
Dyscalculia,difficulty with numbers/math,Normal
Clostridium Difficile,"stomach pain, severe diarrhea, fever",Serious
Insomnia,"difficulty sleeping, irritability, fatigue",Normal
Polyarteritis Nodosa,"joint pain, fever, skin sores",Serious
Common Warts,rough skin growths,Normal
Celiac Disease,"bloating, diarrhea, weight loss",Serious
Scarlet Fever,"red rash, strawberry tongue, sore throat",Serious
Hidradenitis Suppurativa,painful lumps in armpits/groin,Serious
Campylobacteriosis,diarrhea,Normal
Botulism,"paralysis, drooping eyelids, double vision",Critical
Filariasis,swelling of limbs (elephantiasis),Serious
Tinea Cruris,jock itch,Normal
Appendicitis,"vomiting, lower abdominal pain, fever",Serious
Vitamin B12 Deficiency,"tingling, tongue soreness, fatigue",Normal
Macular Degeneration,"distorted lines, blurred central vision",Serious
Cushing Syndrome,"fatigue, weight gain, muscle weakness",Serious
Giant Cell Arteritis,"vision issues, headache, jaw pain",Serious
Huntington's Disease,"cognitive decline, mood swings",Critical
Xerosis (Dry Skin),flaky skin,Normal
Plantar Fasciitis,"heel pain, stiffness in morning",Normal
Androgenetic Alopecia,male/female pattern baldness,Normal
Tick Bite,"red spot, potential bullseye",Normal
Ebola Virus,"bleeding, muscle pain, weakness, fever",Critical
Acanthosis Nigricans,dark velvety skin in folds,Normal
Sebaceous Cyst,slow-growing bump under skin,Normal
Anal Fissure,"bleeding, pain during bowel movements",Normal
Abscessed Tooth,"severe toothache, fever, swelling",Serious
Cholera,"dehydration, vomiting, severe diarrhea",Serious
Tapeworm Infection,"nausea, weight loss, weakness",Normal
Measles,"runny nose, rash, fever, cough",Normal
Turner Syndrome,"heart defects, short stature",Serious
Oral Thrush,"soreness, white patches in mouth",Normal
Alzheimer's Disease,difficulty thinking,Critical
Hyperopia,difficulty seeing close objects,Normal
Muscular Dystrophy,"muscle weakness, walking difficulty, frequent falls",Critical
Balanitis,"swelling, redness of the penis tip",Normal
Flat Warts,smooth small skin-colored warts,Normal
Raynaud's Disease,cold fingers,Normal
Pityriasis Rosea,large herald patch followed by small spots,Normal
Neuropathy,"weakness, numbness, tingling, pain",Serious
Avascular Necrosis,joint pain,Serious
Edward's Syndrome,severe developmental delays,Critical
Tick Bite,"potential bullseye, red spot",Normal
Sleepwalking,"walking while asleep, no memory",Normal
Bejel,"skin lesions, mouth sores",Normal
Cellulitis,fever,Serious
Syphilis,"fever, fatigue, painless sores, rash",Serious
Diarrhea,"urgency, loose stools, stomach cramps",Normal
Kidney Cancer,"back pain, blood in urine, weight loss",Critical
Thalassemia,"pale skin, weakness, dark urine",Serious
Lichen Sclerosus,white thin skin in genital area,Normal
Pancreatic Cancer,"back pain, jaundice, weight loss",Critical
Plague (Pneumonic),"fever, cough",Critical
Pyoderma Gangrenosum,large painful skin ulcers,Critical
Pruritus (Itching),unpleasant sensation inciting scratch,Normal
Narcolepsy,"sudden muscle weakness, excessive daytime sleepiness",Serious
Scoliosis,"uneven shoulders, curved spine",Serious
Thyroid Cancer,"fatigue, hoarseness, neck lump",Critical
Gianotti-Crosti Syndrome,rash on limbs after infection,Normal
Anthrax (Cutaneous),skin sore with black center,Serious
Rheumatoid Arthritis,swelling,Serious
Plague,"swollen lymph nodes, cough, fever",Critical
Pediculosis (Lice),"nits in hair, itching",Normal
Xerosis (Dry Skin),"flaky skin, rough",Normal
Trachoma,"eye itching, blindness",Serious
Erythema Multiforme,target-like skin lesions,Normal
Antisocial Personality,"disregard for rules, impulsivity",Serious
Leishmaniasis,"weight loss, fever, skin sores",Serious
Narcissistic Personality,"lack of empathy, need for admiration",Serious
Sickle Cell Anemia,"swelling, pain crises, infections, fatigue",Critical
Meningitis,"sensitivity to light, fever, headache, stiff neck",Critical
Xerosis (Dry Skin),"flaky skin, rough",Normal
Q Fever,"fever, severe headache, chills",Serious
Nummular Eczema,coin-shaped itchy skin patches,Normal
Tendinitis,pain at tendon site,Normal
Dry Mouth (Xerostomia),"sticky feeling, dry throat",Normal
Psoriasis,"scaly skin, plaques, itching",Normal
Thyroid Cancer,"neck lump, hoarseness, fatigue, weight loss",Critical
Chronic Fatigue Syndrome,"muscle pain, memory issues, extreme fatigue",Serious
Androgenetic Alopecia,male/female pattern baldness,Normal
Sweet Syndrome,fever and painful skin lesions,Serious
Vertigo,"balance issues, nausea, spinning sensation, dizziness",Normal
Lupus,"fatigue, butterfly rash, fever",Serious
COPD,"mucus, chronic cough, breathlessness, wheezing",Serious
MERS,"shortness of breath, cough, fever",Critical
Gout,"redness, joint pain, tenderness, swelling",Normal
Plague (Pneumonic),"bloody sputum, fever, cough",Critical
Bladder Infection,"frequent urination, pelvic pressure",Normal
Depression,"sadness, loss of interest, fatigue, sleep problems",Serious
Scurvy,"weakness, bleeding gums, bruising",Serious
Scarlet Fever,"strawberry tongue, sore throat",Serious
Ear Infection,"drainage, ear pain, hearing loss",Normal
Flat Warts,smooth small skin-colored warts,Normal
Common Wart,"black dots, rough skin growths",Normal
Addison Disease,"dizziness, fatigue, low blood pressure",Serious
Synovitis,"stiffness, joint swelling, pain",Normal
Varicose Veins,"itching, heaviness, swollen veins, leg pain",Normal
Constipation,"difficulty passing stool, abdominal pain, bloating",Normal
Acanthosis Nigricans,dark velvety skin in folds,Normal
Dengue,joint pain,Serious
SARS,"high fever, cough, difficulty breathing",Critical
Legionnaires' Disease,"muscle aches, fever, cough",Serious
Brain Tumor,"nausea, headache, seizures, vision problems",Critical
Yellow Fever,"chills, fever, headache, jaundice",Critical
Gas and Bloating,"abdominal pressure, flatulence",Normal
Diabetes,"frequent urination, blurred vision, increased thirst",Serious
Goodpasture Syndrome,"blood in urine, coughing blood",Critical
Fungal Infection,"redness, scaling, irritation, itching",Normal
HIV/AIDS,"fatigue, fever, infections",Critical
Kidney Stones,"nausea, blood in urine, severe back pain",Serious
Snoring,noisy breathing during sleep,Normal
Cardiomyopathy,fatigue,Serious
Huntington's Disease,"mood swings, cognitive decline, involuntary movements",Critical
Sinusitis,"runny nose, headache, nasal congestion, pressure",Normal
Influenza B,"fever, fatigue, chills",Normal
Stretch Marks,lines on skin from rapid growth,Normal
Jock Itch,itching,Normal
Stevens-Johnson Syndrome,flu symptoms and severe rash,Critical
Constipation,"bloating, difficulty passing stool",Normal
Carbuncles,cluster of boils,Serious
Drug Eruption,rash after taking medication,Serious
Syphilis,"fever, painless sores, rash, fatigue",Serious
Lymphedema,swelling in arms or legs,Serious
Paget's Disease of Bone,hearing loss,Serious
Huntington's Disease,"involuntary movements, mood swings",Critical
Fibromyalgia,fatigue,Normal
Buerger's Disease,"skin ulcers, pain in hands/feet",Serious
Deep Vein Thrombosis,"pain, leg swelling, redness, warmth",Serious
Abscessed Tooth,"fever, severe toothache",Serious
Common Warts,rough skin growths,Normal
Insomnia,"irritability, fatigue",Normal
Heat Stroke,"rapid pulse, high body temp, confusion",Critical
Pancreatic Cancer,"weight loss, jaundice, back pain, fatigue",Critical
Gas and Bloating,"flatulence, abdominal pressure",Normal
Ovarian Cancer,"frequent urination, bloating, pelvic pain",Critical
Encephalitis,"confusion, seizures, headache, fever",Critical
Abscessed Tooth,severe toothache,Serious
Melioidosis,"cough, chest pain, fever",Serious
Shigellosis,"fever, stomach pain, bloody diarrhea",Serious
Cushing Syndrome,"fatigue, weight gain",Serious
Gianotti-Crosti Syndrome,rash on limbs after infection,Normal
Norovirus,vomiting,Normal
Eating Disorder,"weight changes, food restriction, weakness",Serious
H1N1 Flu,"fever, cough, sore throat",Serious
Spider Bite,pain,Normal
Neck Pain,"pain, neck stiffness",Normal
Bunions,bony bump at base of big toe,Normal
Chikungunya,"joint pain, fever, rash",Serious
Amnesia,"confusion, memory loss",Serious
Alopecia Areata,"patchy hair loss, smooth scalp",Normal
Irritable Bowel Syndrome,"bloating, diarrhea, constipation, abdominal pain",Normal
Gas Gangrene,swelling,Critical
Sleepwalking,"no memory, walking while asleep",Normal
Hypothyroidism,dry skin,Normal
Myopia,difficulty seeing far objects,Normal
Celiac Disease,"diarrhea, fatigue, weight loss, bloating",Serious
Hemophilia,excessive bleeding,Critical
Pancreatic Cancer,"fatigue, jaundice, weight loss",Critical
Hypertrophic Scars,raised red scars within injury site,Normal
Polio,"paralysis, muscle weakness",Critical
Trichinosis,"muscle pain, fever, swelling",Serious
Sjogren's Syndrome,"fatigue, dry eyes, joint pain",Serious
Snoring,noisy breathing during sleep,Normal
Spider Bite,"two puncture marks, swelling, pain",Normal
Cardiomyopathy,"fatigue, shortness of breath, swelling, dizziness",Serious
Constipation,"difficulty passing stool, abdominal pain, bloating",Normal
Zika Virus,"rash, fever, joint pain, red eyes",Normal
Addison's Disease,"dark skin, extreme fatigue, weight loss",Serious
Stroke,"sudden weakness, confusion, vision problems",Critical
Food Poisoning,"dehydration, vomiting, nausea, stomach cramps, diarrhea",Normal
